Ext.ID,raw_count,unmapped_count,mapped_count,host_count,human_count,unmapped_avlength,mapped_avlength,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,classified,unclassified,Bacteria,Archaea,Eukaryota,Viruses,species_raw
MS_009,5046141,3970184,291564,290192,1372,50.92,53.51,7.9,5.1,26.2,25.8,35,27.8,72.2,27.8,0,0.02,0,5832
RM_178,7537747,6430641,315175,293517,21658,51.71,55.06,3.4,5.9,25.1,39.7,25.9,9.3,90.7,9.1,0.1,0.1,0,7463
MV_065,8313076,7040061,307475,304919,2556,54.48,52.71,7.3,4.6,29.7,15.8,42.6,15.5,84.5,15.4,0,0.05,0,8481
HM_062,10676422,7702219,333847,321771,12076,47.05,46.03,7.8,4.8,16.6,25.1,45.7,9.2,90.8,9.2,0,0.02,0,7194
MV_135,3659583,2574485,327643,326764,879,50.98,54.43,9,10.7,20.3,13.5,46.5,19,81,18.9,0,0.05,0,5192
MV_136,2178101,1592148,329258,328211,1047,57.15,56.5,4.4,5.3,29.4,24.4,36.5,19.2,80.9,19,0,0.08,0,5114
MV_287,22059725,18236178,336895,334681,2214,50.6,54.57,6.1,3.7,19.3,15.8,55.2,23.3,76.7,23.2,0,0.01,0,8651
MS_011,7415125,6446591,337596,336055,1541,63.58,62.91,6,2.3,19.5,16.3,55.7,14.3,85.7,14.2,0,0.02,0,8469
RM_081,16240677,13518590,390991,344081,46910,56.73,49.87,3,4.6,41,30.2,21.2,21.8,78.2,21.5,0,0.11,0.1,9487
MV_245,5492534,4211419,348168,344268,3900,46.76,47.39,2.1,8.3,12.5,60.6,16.5,28.4,71.6,28.3,0,0.05,0,5790
RM_156,13575865,10106450,364899,347914,16985,48.54,53.53,7.6,15.2,4.6,8,64.5,13,87,12.9,0,0.06,0,7761
MV_201,3249620,2362587,362810,355762,7048,45.09,46.42,1.2,4.7,32.5,34.9,26.6,6.5,93.6,6.3,0,0.11,0,5689
RM_032,10449490,8581480,373915,359924,13991,51.45,47.21,11,7.1,15.4,13.9,52.6,16.2,83.9,16,0,0.06,0.1,8076
RM_079,17992963,15315297,438920,363058,75862,57.28,50.49,2.2,2.2,46.5,32.6,16.6,13.5,86.5,13.2,0,0.23,0,9207
MV_092,9543304,8669113,368451,366478,1973,63.41,57.97,5.7,2.5,30.8,16.7,44.4,16.6,83.4,16.5,0,0.03,0,8739
MV_059,26564641,23653819,381267,368844,12423,57.92,62.75,4.3,4,41.2,13.9,36.5,10.4,89.6,10.4,0,0.05,0,9460
MV_233,2702153,1581791,392002,381587,10415,42.13,42.59,7,5.6,17.7,38.7,31,14.7,85.3,14.6,0,0.09,0,3862
MV_051,13055518,11173763,390324,385135,5189,52.33,47.76,9,2.8,18.4,15.7,54.1,12,88,12,0,0.01,0,8448
MS_096,7594350,5801774,417191,409825,7366,56.63,54.45,10,10.4,22.2,25,32.5,24.9,75.1,24.8,0,0.04,0,7136
RM_188,29429773,26254297,486739,418711,68028,63.72,55.41,1,1.3,58.7,30.6,8.4,15.6,84.4,15.4,0,0.17,0,9427
MV_284,5776790,4873970,424338,421471,2867,52.03,70.64,5.6,4.1,25.2,22,43,19.7,80.3,19.6,0,0.07,0,6159
HM_010,18820826,13427496,442779,433106,9673,42.02,46.03,3.8,34,7.6,5.6,48.9,35.5,64.5,35.4,0,0.04,0,6642
RM_085,8111881,6572896,496148,435737,60411,54.78,48.42,4.4,2.9,32.1,35.5,25.1,12.4,87.6,12.1,0,0.25,0,8576
RM_080,11806241,8758615,582905,439793,143112,46.5,44.06,3.1,3.6,37,38,18.4,9.1,90.9,8.8,0,0.2,0,7207
HM_024,15354031,9355494,601506,460962,140544,47.9,51.87,13.7,16.5,6.3,6.3,57.2,38.1,62,38,0,0.05,0,6987
RM_043,9447894,7130202,489052,483032,6020,51.65,46.82,1.8,40.5,9.2,7,41.5,24.3,75.7,24.2,0,0.06,0,6539
RM_040,17149968,14141707,516763,508747,8016,53.61,48.12,12.4,5.2,15.5,15.5,51.5,12.8,87.3,12.6,0.1,0.02,0,8979
RM_033,13438746,11170295,525865,520471,5394,52.82,51.92,8.7,3.9,20.2,17.7,49.4,12.2,87.8,12.2,0,0.02,0,8618
MV_211,7938779,6893242,532719,531234,1485,59,54.27,1.8,0.8,52.9,19.5,25,8.6,91.4,7,1.6,0.02,0,8545
RM_050,12512487,9414065,550166,543655,6511,50.58,49.19,8.2,6.4,21.8,16,47.7,14.7,85.3,14.6,0,0.04,0,7958
DM_020,14916098,11944554,556683,552316,4367,56.37,56.92,8.4,2.6,21.2,17.4,50.4,9.6,90.4,9,0.5,0.11,0,8917
RM_083,19500093,15108069,660447,552956,107491,51.48,47.61,1.3,1.7,48,33.8,15.2,10.9,89.1,10.7,0,0.12,0,9032
MV_016,8803827,7259153,555108,554002,1106,57.2,67.76,8.5,3.4,19.4,21.5,47.3,12.2,87.8,12.1,0,0.05,0,8128
MS_095,1075749,393163,560205,559249,956,48.1,54.52,6.3,7.3,33.3,32.5,20.7,24.5,75.5,24,0,0.4,0,1523
RM_091,13647176,10221048,723300,561555,161745,47.55,47.64,1.8,1.3,49.1,35.9,11.9,11,89,10.4,0,0.51,0,7919
HM_022,7600049,4663439,569912,564917,4995,44.09,40.11,12.9,5.4,27.5,28.9,25.3,17.2,82.8,17.2,0,0.01,0,4565
RM_127,10647248,9062613,588541,579912,8629,59.14,51.54,4.3,14.9,11.5,15.2,54,25,75.1,24.9,0,0.05,0,8519
RM_207,6239206,4081353,723721,618118,105603,49.12,47.39,1,2.1,56,34.3,6.6,11.9,88.1,11.5,0,0.36,0,6595
MV_057,20575166,17890907,636657,630706,5951,56.16,64.37,6.1,2.5,23.6,16.2,51.5,12.9,87.1,12.8,0,0.09,0,9057
MV_076,9422645,7748023,641244,633740,7504,56.55,56.15,7.4,2.9,35,15.2,39.5,9.6,90.4,9.4,0,0.09,0,8391
MV_066,9982180,8677207,663151,659226,3925,60.8,58.77,6.6,2.8,21.4,17.5,51.7,14.1,85.9,13.9,0,0.16,0,8680
MS_135,9088597,8219200,664818,663743,1075,73.05,61.29,2.3,0.4,19,4.8,73.5,3,97,2.6,0.4,0.04,0,8093
RM_088,13072747,10332681,843132,732701,110431,55.16,49.89,3.2,1.6,45.3,31.5,18.4,13.5,86.5,13.2,0,0.26,0,8790
MV_039,25969011,22390676,742217,739957,2260,55.47,55.73,6,2.2,12.2,14.9,64.6,16.1,84,16,0,0.01,0,8970
MS_117,19281752,13830076,775602,769821,5781,47.31,52.2,8,4.5,15.7,7.6,64.2,20.2,79.8,13.2,7,0.01,0,7760
RM_133,15259746,13482001,781409,774054,7355,64.05,62.38,6.8,16.5,6.7,10.4,59.7,50.5,49.5,50.3,0,0.14,0,9022
MS_022,13776540,12285204,833205,831769,1436,65.04,73.97,4.3,1.4,41,14.1,39.2,15.6,84.4,15.5,0,0.04,0,8904
MV_286,4150900,2846577,933155,930010,3145,47.98,53.94,0.9,4.3,18.7,21.3,54.8,12.5,87.5,12.3,0,0.11,0,5081
RM_106,11249299,8538436,1319850,936007,383843,60.53,53.68,4.4,5.2,21.5,35.5,33.4,9.7,90.3,8.4,0,1.34,0,7821
RM_125,12797648,9773511,1026832,991167,35665,54.76,51.97,5.5,10.5,13.8,15.2,55,17.9,82.1,17.7,0,0.16,0,8607
MV_062,6697867,5088742,996103,991476,4627,62.07,52.84,9.4,2.5,26.8,16.7,44.6,13.1,86.9,13,0,0.09,0,8324
RM_176,9512786,7383508,1044817,1007586,37231,56.91,59.93,2.3,7.2,21.7,31,37.8,16.3,83.7,15.8,0,0.43,0,7857
RM_213,30312997,25299370,1032330,1025119,7211,53.75,59.54,2.6,1.6,30,23.7,42,9.6,90.4,7.1,2.5,0.03,0,9013
MV_036,23110263,17780154,1040952,1036708,4244,47.93,48.49,5.5,3.2,16.9,17.6,56.7,9.6,90.4,9.6,0,0.01,0,8415
HM_026,5796172,3212197,1050646,1041386,9260,41.25,42.55,22.9,9.9,14.2,12.4,40.5,18,82,17.9,0,0.06,0,4962
MV_010,3630949,2160348,1075221,1070887,4334,53.27,57.91,5.3,4.6,26.3,25.9,37.8,15.2,84.8,15.1,0,0.12,0,5078
