Ext ID,Museum,Sampling date,Catalogue/accession,Species,Collection notes,Sex,Age,Year,Country,Region,Locality,Oral health,Appearance,Sampling comments,Ext Date,Sample weight (g),Pigmented_extract,Qubit concentration (ng/ul),LP date,Extract vol used,LP copies ,Ind date,LP vol used,Ind cycles,Ind copies,Pool,Pooled volume (ul)
MS_010,NMS,20230120,Z.2003.160.1292,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YL042",female,11 months ,1999,Scotland,St. Kilda,Hirta,,,,20230723,0.018,TRUE,17.7,20230727,20,2.28E+09,20230905,12,11,4.65E+07,Pool D,5
MS_035,NMS,20230124,Z.1820.8,Acrocodia indica,donor: Lady Hastings ,,,<1820,Indonesia,,,,,,20230609,0.023,TRUE,1.48,20230620,20,2.81E+04,20230622,18,11,1.32E+06,,
MS_055,NMS,20230127,Z.2003.160.476,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AA043",male,47 months ,1999,Scotland,St. Kilda,Hirta,,,,20230723,0.019,TRUE,7.8,20230809,4,1.30E+06,20230907,12,14,2.67E+05,,
MS_091,NMS,20230503,Z.2003.160.419,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY549",female,108 months ,2002,Scotland,St. Kilda,Hirta,,,,20230719,0.012,TRUE,2.85,20230801,10,6.50E+07,20230905,12,11,1.08E+10,Pool C,4
MS_092,NMS,20230503,Z.2003.160.421,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY557",female,107 months ,2002,Scotland,St. Kilda,Hirta,,,,20230723,0.014,TRUE,8.57,20230727,20,3.32E+08,20230905,12,11,3.17E+08,Pool D,5
MS_093,NMS,20230503,Z.2003.160.423,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT YY563",female,105 months ,2002,Scotland,St. Kilda,Hirta,,,,20230723,0.018,TRUE,3.82,20230727,20,8.63E+07,20230905,12,11,3.30E+05,,
MS_095,NMS,20230503,Z.2003.160.296,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY171",male,23 months ,2002,Scotland,St. Kilda,Hirta,,,,20230814,0.017,TRUE,8.06,20230821,5,1.73E+08,20230908,12,11,1.29E+09,Pool C,4
MS_096,NMS,20230503,Z.2003.160.280,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY120",male,23 months ,2002,Scotland,St. Kilda,Hirta,,,,20230814,0.02,TRUE,5.88,20230821,10,1.63E+08,20230908,12,11,1.60E+10,Pool B,3
MS_097,NMS,20230503,Z.2003.160.284,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AY129",male,23 months ,2002,Scotland,St. Kilda,Hirta,,,,20230801,0.016,TRUE,4.07,20230810,10,1.72E+07,20230908,12,11,4.00E+05,,
MS_098,NMS,20230503,Z.2003.160.42,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AO062",male,11 months ,2002,Scotland,St. Kilda,Hirta,,,,20230801,0.015,TRUE,9.34,20230810,10,4.47E+06,20230908,12,11,1.33E+05,,
MS_100,NMS,20230503,Z.2003.160.41,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AO060",male,8 months ,2001,Scotland,St. Kilda,Hirta,,,,20230801,0.011,TRUE,1.73,20230810,10,9.46E+06,20230908,12,11,2.26E+05,,
MS_102,NMS,20230503,Z.2003.160.2111,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT OL011",male,35 months ,1986,Scotland,St. Kilda,Hirta,,,,20230814,0.015,TRUE,9.93,20230821,10,2.40E+08,20230908,12,11,2.54E+10,Pool B,3
MS_110,NMS,20230504,Z.2019.6.4394,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT BW094",female,95 months ,2017,Scotland,St. Kilda,Hirta,,,,20230719,0.015,TRUE,3.18,20230801,10,1.47E+07,20230905,12,11,4.97E+05,,
MS_111,NMS,20230504,Z.2019.6.4381,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT VB003",male,59 months ,2017,Scotland,St. Kilda,Hirta,,,,20230719,0.015,TRUE,0.597,20230801,20,1.89E+04,,,,,,
MS_113,NMS,20230504,Z.2019.6.4455,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT AW525",female,179 months ,2018,Scotland,St. Kilda,Hirta,,,,20230719,0.016,TRUE,5.88,20230801,10,6.77E+07,20230905,12,11,1.23E+09,Pool C,4
MS_114,NMS,20230504,Z.2019.6.4452,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT BG186",male,83 months ,2018,Scotland,St. Kilda,Hirta,,,deformity or decay on third lower molar from both sides (photo),20230801,0.016,TRUE,2.55,20230810,10,6.12E+06,20230908,12,11,1.46E+08,Pool D,5
MS_115,NMS,20230504,Z.2019.6.4470,Ovis aries,"Collector: Soay Sheep Project; Donor: Pemberton, Josephine, Prof., Institute of Cell, Animal and Population Biology, Ashworth Laboratories, Kings Buildings, West Mains Road, Edinburgh EH9 3JT OP345",female,age not known  ,2018,Scotland,St. Kilda,Hirta,,,,20230719,0.013,TRUE,0.955,20230801,20,1.87E+05,20230920_remainder,12,14,7.80E+05,,
