Ext.ID,merged_count,unmapped_count,mapped_count,host_count,human_count,phix_count,submitted_F_avlength,submitted_R_avlength,merged_avlength,unmapped_avlength,mapped_avlength,perc_unique,p_OralH,p_OralMM,p_OralTM,p_Rumen,p_Sediment.Soil,p_Skin,p_Unknown,submitted_count
LB_14,1151,709,442,NA,442,0,45.8728813559322,43.4400726392252,33.6846220677672,42.181946403385,20.2466063348416,45.6113801452784,NA,NA,NA,NA,NA,NA,NA,1652
LB_15,228,66,162,NA,162,0,46.5301455301455,48.049896049896,25.4210526315789,45.4848484848485,16.5432098765432,37.1101871101871,NA,NA,NA,NA,NA,NA,NA,481
LB_16,17,8,9,NA,9,0,57.8829268292683,72.3146341463415,32.5294117647059,47.5,18.6666666666667,30.6707317073171,NA,NA,NA,NA,NA,NA,NA,820
LB_17,25,20,5,NA,5,0,40.48,42,38.32,43,20,92,NA,NA,NA,NA,NA,NA,NA,50
LB_18,15,12,3,NA,3,0,47.4590163934426,48.9508196721311,25.6666666666667,27.4166666666667,18.6666666666667,44.672131147541,NA,NA,NA,NA,NA,NA,NA,122
LB_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB_1,6,2,4,NA,4,0,39.0769230769231,29.3846153846154,26.5,40,19.75,100,NA,NA,NA,NA,NA,NA,NA,13
LB_20,136,14,122,NA,122,0,29.3248407643312,28.3566878980892,17.8823529411765,38.1428571428571,16.3688524590164,37.2611464968153,NA,NA,NA,NA,NA,NA,NA,157
LB_21,10,5,5,NA,5,0,46.8723404255319,56.468085106383,39.5,57,20.8,52.6595744680851,NA,NA,NA,NA,NA,NA,NA,94
LB_23,41,33,8,NA,8,0,56.5063291139241,41.0632911392405,40.5121951219512,44.6969696969697,22.375,77.8481012658228,NA,NA,NA,NA,NA,NA,NA,79
LB_24,717,612,105,NA,105,0,60.9706202393906,44.6539717083787,42.3682008368201,46.3937908496732,18.6571428571429,84.9292709466812,NA,NA,NA,NA,NA,NA,NA,919
