Ext.ID	Museum	Sampling.date	Catalogue.accession	Species	Collection.notes	Sex	Age	Year	Country	Region	Locality	Oral.health	Appearance	Sampling.comments	Ext.Date	Sample.weight.g.	Pigmented_extract	Qubit.concentration.ng.ul.	LP.date	Extract.vol.used	LP.copies	Ind.date	LP.vol.used	Ind.cycles	Ind.copies	Pool	Pooled.volume.ul.	Common.name	habitat.general	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	merged_count	unmapped_count	mapped_count	host_count	human_count	phix_count	submitted_F_avlength	submitted_R_avlength	merged_avlength	unmapped_avlength	mapped_avlength	perc_unique	p_OralH	p_OralMM	p_OralTM	p_Rumen	p_Sediment.Soil	p_Skin	p_Unknown	submitted_count	is.blank	failed.repeated	combined.sample	Sample.weight.mg	Age_approximated	DNA_output_ug	DNA_input_ug	bc_output_copies	bc_input_copies	ind_output_copies	efficiency	exp_ind_copies	PC1	PC2	PC1_scaled	PC2_scaled	diet_category
DM_012	Adametz collection	20230217	15 E761 73	Sus scrofa	C 	female	0.83	<1940							20230627	0.009	FALSE	2.08	20230629	20	1.91e+08	20230906	12	11	6.32e+10	Pool A	3	European wild pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	11340195	21912104	768286	325886	58253	4	70.0035385767037	64.179245966654	57.5837082166576	57.7738813214833	52.1598258981681	93.6002090896066	27.492	0.389	7.9476	1.3849	3.0673	3.2232	56.496	11370956	FALSE	FALSE	FALSE	9	TRUE	0.0936	0.0416	7.64e+09	2.292e+09	1.264e+12	0.775130245185969	197128884204.262	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_013	Adametz collection	20230217	E 374	Sus domesticus	Polnisches Landschwein 		0.83	<1940	Poland?						20230627	0.016	FALSE	14.2	20230629	20	1.12e+08	20230906	12	11	2.35e+10	Pool B	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	6331924	5137792	1194132	1172265	21867	0	68.4655413964265	64.9959050444544	58.8108011087941	61.0237545622711	52.0144649000278	94.3337499969111	41.814	0.9096	10.8233	2.7563	5.5499	4.654	33.4928	6359776	FALSE	FALSE	FALSE	16	TRUE	0.639	0.284	4.48e+09	1.344e+09	4.7e+11	0.703120303258246	115593900685.222	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_014	Adametz collection	20230217	E 522	Sus domesticus	Siska-Schwein; kroatische Landrasse (augestorben) Adametz-Smgl., Inv.Nr. E 522, weibl. juv. 	female	0.83	<1940							20230816	0.007	FALSE	5.94	20230824	20	1.04e+08	20230920_7-7	12	11	3.84e+10	Pool B	2	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	8043725	4617034	3426691	3318077	108613	1	64.6384644121906	59.5106817459068	52.583079108249	52.6968382732291	52.4298029790255	93.836151748591	55.6133	0.8395	14.4851	1.644	1.7552	9.2565	16.4063	8097225	FALSE	FALSE	FALSE	7	TRUE	0.2673	0.1188	4.16e+09	1.248e+09	7.68e+11	0.792911219740686	107337193493.42	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_015	Adametz collection	20230217	E 855	Sus domesticus	Sumadija-Schwein; serbische Landrasse (ausgestorben); Adametz-Smlg., Inv. Nr. E 855, maennl. Ad. 	male?	0.83	<1940	Serbia?				white-beige		20230816	0.022	FALSE	26.3	20230824	20	1.72e+08	20230920_7-7	12	11	2.71e+10	Pool B	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	3841331	3809810	31521	23060	8461	0	66.3561366588724	64.7298012470772	58.2210002210171	58.3965050750562	36.9169759842645	97.3655422916061	42.4338	0.8393	13.4287	1.5416	7.7756	5.2908	28.6902	3849000	FALSE	FALSE	FALSE	22	TRUE	1.1835	0.526	6.88e+09	2.064e+09	5.42e+11	0.659340134467384	177519204623.734	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_016	Adametz collection	20230217	A 491	Sus domesticus	Haengebauchschwein 	male	0.83	<1940					white-beige		20230809	0.017	FALSE	7.27	20230815	20	5.98e+08	20230907	12	11	7.44e+10	Pool A	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	14527590	14279869	247721	145578	102142	1	60.5474505032439	59.4759944658943	52.051396067758	52.2634911426709	39.6324332616129	95.2265059604186	66.0996	0.1858	11.9628	1.7861	3.0094	0.7518	16.2047	14550499	FALSE	FALSE	FALSE	17	TRUE	0.32715	0.1454	2.392e+10	7.176e+09	1.488e+12	0.624093224926533	617188862587.167	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_017	Adametz collection	20230217	E 507	Sus domesticus	Syrm; Mangaliza; blond 	female	0.83	<1940					white-beige		20230809	0.013	FALSE	7.33	20230815	20	3.46e+08	20230907	12	11	1.73e+08	Pool D	5	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	13	TRUE	0.32985	0.1466	1.384e+10	4.152e+09	3.46e+09	-0.0164380826231211	357102586045.417	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_018	Adametz collection	20230217	E 514	Sus domesticus	Syrm; Mangaliza; blond 	female	0.83	<1940					white-beige		20230809	0.034	FALSE	24.7	20230815	20	24400	20230920_remainder	12	14	5930000		NA	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	34	TRUE	1.1115	0.494	976000	292800	118600000	0.535504072466863	84860845.5472015	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_019	Adametz collection	20230221	E 753	Sus domesticus	Galz. Landschw. 		0.83	<1940					white on some teeth darker on others		20230828	0.012	FALSE	6.36	20230830	20	1.45e+08	20230920_7-7	12	11	3.54e+10	Pool B	2	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	6279454	6232057	47397	27419	19977	1	63.4420024478059	61.0611064241042	54.3693835483149	54.5667929545574	28.4127476422558	97.0740852609366	40.4201	0.635	9.793	2.1814	9.3005	5.8024	31.8676	6311775	FALSE	FALSE	FALSE	12	TRUE	0.2862	0.1272	5.8e+09	1.74e+09	7.08e+11	0.726735505032347	149652817851.403	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_020	Adametz collection	20230221	E 517	Sus domesticus	Bagun 		0.83	<1940					white on some teeth darker on others		20230809	0.011	FALSE	15.6	20230815	20	1.5e+08	20230907	12	11	3.17e+10	Pool B	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	14422457	13550309	872148	738426	133721	1	60.1041450894719	58.7740343731369	51.73808699863	52.7085033263817	45.3084614079262	96.3279384669492	39.6397	0.5809	7.4786	2.1074	7.5844	3.9115	38.6976	14461642	FALSE	FALSE	FALSE	11	TRUE	0.702	0.312	6e+09	1.8e+09	6.34e+11	0.70423231395337	154813259846.279	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_021	Adametz collection	20230221	E 758	Sus domesticus	 		0.83	<1940					orange-brown		20230828	0.012	FALSE	0.58	20230830	20	68200000	20230920_7-7	12	11	1.69e+10	Pool B	3	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	4651243	4528588	122655	84948	37707	0	60.694889595753	55.8663016347269	49.1080472467252	49.5270669356541	33.6372752843341	96.9588476262905	53.3852	0.647	14.777	2.2673	3.8854	10.4701	14.568	4660962	FALSE	FALSE	FALSE	12	TRUE	0.0261	0.0116	2.728e+09	818400000	3.38e+11	0.72907461363653	70388428810.1083	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_022	Adametz collection	20230221	E 216	Sus domesticus	Yorkshire 	female	0.83	<1940	UK?	Yorkshire?			white on some teeth darker on others		20230809	0.016	FALSE	19.3	20230815	20	3.41e+08	20230907	12	11	3.87e+10	Pool B	2	Domestic pig	Terrestrial	Artiodactyla	Sus scrofa	Browser-Rootivore	4.2	12.92185	4.06591	18.41128	9.56317	55.03775	Frugivore	11007820	10841572	166248	85140	81105	3	59.6269318236241	58.3121044378428	51.1800773450147	51.5975208207813	23.2973990664549	97.2462056598286	45.4122	0.5406	8.8048	2.6621	7.9259	3.2237	31.4308	11024816	FALSE	FALSE	FALSE	16	TRUE	0.8685	0.386	1.364e+10	4.092e+09	7.74e+11	0.61058000545164	351942144050.541	-8.90399072433945	5.42847964048577	-0.351041075950703	0.774982124982971	Frugivore
DM_026	Adametz collection	20230221	E 70	Equus caballus	Staten Fohlen; Pinzgauer R. 		0.83	<1940							20230808	0.026	FALSE	20.9	20230811	20	1.56e+09	20230904	12	11	1.02e+11	Pool A	2	Domestic horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	5395665	5359336	36329	18760	17569	0	73.8997685566765	73.4349569030848	68.2976491312934	68.5996211097793	22.9989264774698	93.8753620884611	36.8371	0.4733	26.4027	0.926	8.4765	12.8038	14.0806	5423358	FALSE	FALSE	FALSE	26	TRUE	0.9405	0.418	6.24e+10	1.872e+10	2.04e+12	0.531832579833297	1610057902401.3	-9.9046640426196	-7.9098226059155	-0.390492761065782	-1.12922430170931	Herbivore
DM_027	Adametz collection	20230221	E 946	Equus caballus	Pinzgauer 		0.83	<1940						maybe insufficient?	20230808	0.016	FALSE	28.3	20230811	20	1.07e+09	20230904	12	11	3.78e+10	Pool B	2	Domestic horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	4969563	4919146	50417	28622	21795	0	65.8406163501425	62.0936320621951	55.7166517458376	56.0236232061419	25.7656742765337	95.9947173197565	39.7089	0.3994	10.3368	1.1832	7.797	7.5861	32.9887	4991773	FALSE	FALSE	FALSE	16	TRUE	1.2735	0.566	4.28e+10	1.284e+10	7.56e+11	0.448455512957681	1104334586903.46	-9.9046640426196	-7.9098226059155	-0.390492761065782	-1.12922430170931	Herbivore
DM_028	Adametz collection	20230221	E 947	Equus caballus	Pinzgauer; O.3; No. 5 		0.83	<1940							20230808	0.015	FALSE	3.81	20230811	20	2.48e+09	20230904	12	11	8.98e+10	Pool A	3	Domestic horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	8371550	8074281	297269	156575	140690	4	60.4717119348554	53.8506023326044	46.0465139669476	46.9126808938158	21.927506736323	95.5493976820461	35.8507	0.3573	12.5922	1.3276	12.9724	5.5139	31.386	8383076	FALSE	FALSE	FALSE	15	TRUE	0.17145	0.0762	9.92e+10	2.976e+10	1.796e+12	0.451708435795083	2559579229458.48	-9.9046640426196	-7.9098226059155	-0.390492761065782	-1.12922430170931	Herbivore
DM_029	Adametz collection	20230221	E 91	Equus caballus	Anglonormanner; Conezie (?) 	female	0.83	<1940							20230808	0.015	FALSE	1.36	20230811	20	2.97e+08	20230904	12	11	1.33e+11	Pool A	2	Domestic horse	Terrestrial	Perissodactyla	Equus caballus	Grazer	4.1	10.65744	2.38335	29.64453	8.93891	48.37576	Herbivore	8282697	7624031	658666	494976	163687	3	58.9850732452608	51.3248380128548	43.7889043870614	44.6820573001343	33.4506942820792	93.341848076178	38.4114	0.4593	10.1891	1.515	12.8309	7.2072	29.3871	8296646	FALSE	FALSE	FALSE	15	TRUE	0.0612	0.0272	1.188e+10	3.564e+09	2.66e+12	0.824638028036964	306530254495.633	-9.9046640426196	-7.9098226059155	-0.390492761065782	-1.12922430170931	Herbivore
HM_001	NHM London	20230711	NHMUK ZD 1908.7.17.24	Muntiacus muntjak	Borneo British North Borneo		1.15	<1908	Malaysia						20230724	0.011	FALSE	3.34	20230726	20	52400000	20230905	12	11	1.66e+10	Pool B	3	Indian muntjac	Terrestrial	Artiodactyla	Muntiacus muntjak	Browser-Frugivore	5	13.31479	5.6142	14.59954	8.08755	58.38392	Frugivore	5220441	5102638	117803	60758	57045	0	59.6189477996798	51.4258064048088	44.2850004434491	44.753353265507	23.998293761619	96.1163638662161	12.4317	0.6612	46.5703	0.6921	6.9026	18.7714	13.9708	5238033	FALSE	FALSE	FALSE	11	TRUE	0.1503	0.0668	2.096e+09	628800000	3.32e+11	0.768118685068129	54081432106.3002	-9.43749640128808	10.5477378969678	-0.372074611660697	1.50581910046992	Frugivore
HM_002	NHM London	20230711	NHMUK ZD 1903.4.16.1	Giraffa camelopardalis	near lake boringo	female	1.2	1903							20230724	0.018	FALSE	12.1	20230726	20	55800000	20230905	12	11	2.61e+09	Pool C	4	Giraffe	Terrestrial	Artiodactyla	Giraffa camelopardalis	Browser	5	11.3339	3.13823	25.58103	5.57323	54.37362	Frugivore	710894	681293	29601	15575	14026	0	53.5513063254913	44.4111463925119	36.8020787909309	37.3658323217764	23.3470490861795	93.0154274710275	43.6214	0.1646	12.8395	0	5.1852	1.5638	36.6255	711423	FALSE	FALSE	FALSE	18	FALSE	0.5445	0.242	2.232e+09	669600000	5.22e+10	0.485890559514774	57590532662.8159	-11.9615020817915	-1.2670773051243	-0.471583887582068	-0.180890843749218	Frugivore
HM_003	NHM London	20230711	NHMUK ZD 1904.12.4.13	Cuniculus paca	Agouti Marcapata Peru Warsaw Mus	female	1.19	1904	Peru						20230724	0.005	FALSE	0.412	20230726	20	18500000	20230905	12	11	4.61e+09	Pool C	4	Lowland paca	Terrestrial	Rodentia	Cuniculus paca	Frugivore-Browser	3.9	10.60653	3.31641	15.61663	10.2546	60.2058	Frugivore	1382793	1303757	79036	41795	37240	1	61.0998451738891	54.5850588115672	46.9407973572328	47.6918183373129	34.432752163571	91.4382390115265	23.218	0.6622	30.0986	0.1674	3.9883	25.4139	16.4516	1386717	FALSE	FALSE	FALSE	5	FALSE	0.01854	0.00824	7.4e+08	2.22e+08	9.22e+10	0.729953217353824	19093635381.0411	-13.0244926523518	10.2166655502041	-0.513492439058306	1.45855445773191	Frugivore
HM_004	NHM London	20230711	NHMUK ZE 1939.1.21.127	Otaria flavescens	Discovery investigstions J. E. Hamilton Coll Falkland Is	male	0.84	1939	Falkland Islands						20230724	0.005	FALSE	0.871	20230726	20	14100000	20230905	12	11	9.58e+08	Pool D	5	South American sea lion	Aquatic	Carnivora	Otaria flavescens	Piscivore-Squid-Eater	99.99995	70.5	11.3	1.5	12.6	4	Animalivore	36966218	24025785	12940433	12421648	518780	5	59.6979695040658	56.5510973540442	48.8063784615456	48.4036060840468	49.5541829241726	84.5048036328312	7.5815	1.1947	51.3558	0.196	3.0529	4.8096	31.8095	37082517	FALSE	FALSE	FALSE	5	FALSE	0.039195	0.01742	5.64e+08	169200000	1.916e+10	0.537187454760571	14552446425.5502	69.9615082872931	-0.899605838916887	2.75824222021832	-0.128429779765833	Animalivore
HM_005	NHM London	20230711	NHMUK ZD 1912.4.28.1	Acrocodia indica	Donation from museum		1.11	1912	Malaysia	Penang					20230724	0.011	TRUE	2.39	20230726	20	168000	20230905	12	11	245000		NA	Malayan tapir	Terrestrial	Perissodactyla	Tapirus indicus	Browser-Grazer	4.7	10.12341	3.73429	21.99719	7.64161	56.50351	Frugivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	11	FALSE	0.10755	0.0478	6720000	2016000	4900000	0.0840870114137435	173390851.027833	-12.9667540330975	2.8454567263308	-0.511216085942671	0.406223887047976	Frugivore
HM_006	NHM London	20230711	NHMUK ZE 1939.1.21.147	Otaria flavescens	Discovery investigstions J. E. Hamilton Coll Falkland Is		0.84	1939							20230724	0.005	FALSE	1.15	20230726	20	1.98e+08	20230905	12	11	3.4e+10	Pool B	2	South American sea lion	Aquatic	Carnivora	Otaria flavescens	Piscivore-Squid-Eater	99.99995	70.5	11.3	1.5	12.6	4	Animalivore	5135115	4987207	147908	127666	20242	0	67.5716353181677	63.5925362374695	57.7800282953741	58.2628360924261	41.5005611596398	96.4171786341894	4.1905	0.4532	66.063	0.4475	4.3476	5.1617	19.3365	5150539	FALSE	FALSE	FALSE	5	FALSE	0.05175	0.023	7.92e+09	2.376e+09	6.8e+11	0.672372249210177	204353502997.089	69.9615082872931	-0.899605838916887	2.75824222021832	-0.128429779765833	Animalivore
HM_007	NHM London	20230711	NHMUK ZE 1949.3.17.47	Arctocephalus australis	 		NA								20230724	0.019	FALSE	0.52	20230726	20	17700		NA	NA	NA		NA	South American fur seal	Aquatic	Carnivora	Arctocephalus australis	Piscivore	5.2	76.94024	10.39008	0.35286	11.56014	0.75659	Animalivore	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	19	NA	0.0234	0.0104	708000	NA	NA	NA	NA	76.7827881830308	-1.12115824451169	3.02717213132156	-0.160059106106567	Animalivore
HM_008	NHM London	20230711	NHMUK ZD 1986.200	Acrocodia indica	Skin destroyed in 1873 Source: ZSL		1.5	<1873	Indonesia	Sumatra					20230724	0.015	FALSE	0.58	20230726	20	86300	20230920_remainder	12	14	2.31e+09	Pool C	4	Malayan tapir	Terrestrial	Perissodactyla	Tapirus indicus	Browser-Grazer	4.7	10.12341	3.73429	21.99719	7.64161	56.50351	Frugivore	10653	9332	1321	1158	163	0	57.1443820224719	49.9967228464419	42.4603398103821	42.9144877839691	39.2513247539743	91.8586142322097	0	0	0	0	0	0	100	10680	FALSE	FALSE	FALSE	15	TRUE	0.0261	0.0116	3452000	1035600	4.62e+10	1.14834273078568	300143072.570635	-12.9667540330975	2.8454567263308	-0.511216085942671	0.406223887047976	Frugivore
