Species	Common.name	order	Species_Lintulaakso_et_al	diet_cluster_name	diet_quality	cp	ee	cf	ash	nfe	calculated_species_main_diet	PC1	PC2	PC1_scaled	PC2_scaled
Capreolus capreolus	Roe deer	Artiodactyla	Capreolus capreolus	Browser-Grazer	4.6	11.87004	3.18471	22.59587	9.88679	52.4626	Herbivore	-9.38266079536746	0.377468514960926	-0.369912710250561	0.0538882654467149
Rupicapra rupicapra	Chamois	Artiodactyla	Rupicapra rupicapra	Browser-Grazer	4.6	14.41832	3.12154	23.39875	11.61744	47.44395	Herbivore	-4.63257055703509	-2.66364306181271	-0.182639740213766	-0.380267753947962
Ovibos moschatus	Muskox	Artiodactyla	Ovibos moschatus	Grazer-Browser	4.1	9.72697	3.07464	30.26407	6.87157	50.06277	Herbivore	-11.7766320416841	-7.60888619295474	-0.464295360471077	-1.08626193356083
Pongo pygmaeus	Bornean orangutan	Primates	Pongo pygmaeus	Frugivore-Browser	4.9	14.0531	4.24633	12.40414	10.1851	59.11132	Frugivore	-8.82303625213605	12.7609294275155	-0.347849434595145	1.82177936723527
Marmota marmota	Marmot	Rodentia	Marmota marmota	Browser-Florivore	4.9	12.29211	4.28354	20.27693	8.5824	54.56506	Herbivore	-9.61039158790925	3.55143660307588	-0.378891028503123	0.507011183180518
Papio anubis	Olive baboon	Primates	Papio anubis	Granivore-Frugivore	2.4	17.17402	6.55748	16.95524	5.39171	53.92152	Undefined	-4.5564375371569	6.62845657049146	-0.179638185288472	0.946293566258475
Diceros bicornis	Black rhino	Perissodactyla	Diceros bicornis	Browser	4.1	11.13674	2.49938	27.36192	8.20743	50.79453	Herbivore	-10.4021691454113	-4.67501381879996	-0.41010696911943	-0.667415627130202
Ceratotherium simum	White rhino	Perissodactyla	Ceratotherium simum	Grazer	5.3	10.12274	2.3037	32.4131	7.64103	47.5194	Herbivore	-10.6151525034288	-10.7726055225742	-0.418503867709374	-1.53792171517489
Cephalophus silvicultor	Yellow-backed duiker	Artiodactyla	Cephalophus silvicultor	Browser-Frugivore	3.2	11.49249	4.17325	16.7114	7.73566	59.88717	Frugivore	-12.4822491263736	9.24529937515967	-0.492114412431844	1.31988000883868
Piliocolobus foai	Central African red colobus	Primates	Piliocolobus foai	Browser-Frugivore	2.5	10.99542	4.47897	18.52198	6.14336	59.86028	Frugivore	-13.361648955799	7.65828360238433	-0.52678487333748	1.09331402030771
Gorilla beringei	Eastern gorilla	Primates	Gorilla beringei	Browser	4.5	12.60358	2.84532	19.11319	12.78136	52.65655	Herbivore	-7.91331823866828	3.50333842866334	-0.311983675055829	0.500144578185626
Equus burchellii	Plains zebra	Perissodactyla	Equus burchellii	Grazer	3.6	10.49486	2.50168	29.30311	8.30043	49.3999	Herbivore	-10.5614787700514	-7.10103172796969	-0.416387773286275	-1.01375947273904
Syncerus caffer	African buffalo	Artiodactyla	Syncerus caffer	Grazer	3.9	10.14996	2.59276	30.57153	7.42786	49.25788	Herbivore	-11.1065850652807	-8.28408432779852	-0.437878664989668	-1.18265475806794
Okapia johnstoni	Okapi	Artiodactyla	Okapia johnstoni	Browser-Grazer	3.8	11.75961	3.80114	19.86591	8.66007	55.91328	Herbivore	-10.7655524698765	4.51131049818256	-0.424433407359546	0.64404496799893
